type,title,rating,duration,listed_in,IMDb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Movie,yakov smirnoff: united we laugh,16+,75 min,"Arts, Entertainment_Culture, Comedy, SpecialInterest",8.8,yakov smirnoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"fighter, marbo noy morbo",13+,160 min,"Action, Drama, Romance",8.8,jeet,srabanti biswas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,an unforgettable summer,R,80 min,International,8.8,kristin scott,thomas claudiu,bleont olga tudorache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,ishtam,13+,140 min,Romance,8.8,vimal,nisha aggarwal,santhanam,anoop kumar,parvathi nifran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,into the waves,18+,73 min,Drama,8.8,philippe klaus,mike booth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,indigenous,R,86 min,Horror,8.8,zachary soetenga,lindsey mckeon,sofia pernas,pierson fode,jamie anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,hillary,18+,32 min,Comedy,8.8,esther friedman,rain pryor,hannah hodson,christina zorich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,gowdru hotel,13+,112 min,"Comedy, Drama, Romance",8.8,rachan chandra,vedhika,prakash raj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,egonã¬a,13+,87 min,"Drama, Horror, Suspense",8.8,margherita lamesta,anwar kalander,edoardo siravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,appuvinte sathyanweshanam,ALL,104 min,Drama,8.8,master ridhun,a.v.anoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,c.r.usher,16+,104 min,Drama,8.8,julianne carioto,veronique fortin (i),angela parent,richard groen,lindsay whit,rodrigues a. williams,laszlo szijarto (i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,wwii in hd,TV_14,1 Season,Action,8.7,gary sinise,charles scheffel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,victorian farm: christmas special,ALL,1 Season,TVShows,8.7,stephen noonan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
