type,title,rating,duration,listed_in,IMDb,c0,c1,c2,c3,c4,c5,c6
Movie,stitch! the movie,G,62 min,"Animation, Comedy, Family",6.1,daveigh chase,chris sanders,tia carrere,david stiers,kevin mcdonald,ving rhames,
Movie,the even stevens movie,TV_G,94 min,"Action, Adventure, Comedy",6.1,shia labeouf,christy romano,tom virtue,nick spano,steven lawrence,a.j. trauth,
Movie,the game plan,PG,112 min,"Comedy, Family, Sports",6.1,dwayne johnson,kyra sedgwick,morris chestnut,roselyn sanchez,madison pettis,gordon clapp,
Movie,the legend of mor'du,TV_G,8 min,"Animation, Family, Fantasy",6.1,julie walters,steve purcell,callum o'neill,,,,
Movie,the lion king 1 1/2,G,80 min,"Action, Adventure, Animation, Comedy",6.1,nathan lane,ernie sabella,julie kavner,jerry stiller,matthew broderick,robert guillaume,
Movie,the little mermaid:  ariel's beginning,G,79 min,"Animation, Drama, Family",6.1,jodi benson,samuel wright,jim cummings,sally field,tara strong,jennifer hale,
Movie,three men and a baby,PG,103 min,"Buddy, Comedy",6.1,tom selleck,steve guttenberg,ted danson,margaret colin,celeste holm,nancy travis,
Movie,treasure of matecumbe,G,116 min,"Action, Adventure, Family, Mystery",6.1,robert foxworth,joan hackett,peter ustinov,vic morrow,johnny doran,billy attmore,
Movie,world's greatest dogs,TV_PG,44 min,"Animals_Nature, Documentary, Family",6.1,mike secher,,,,,,
TV Show,disney mech_x4,TV_Y7,2 Seasons,"Action, Adventure, Comedy, Sci_Fi",6.1,nathaniel potvin,raymond cham,kamran lucas,pearce joza,,,
Movie,rookie of the year,PG,104 min,"Comedy, Family, Sports",6.0,thomas ian nicholas,gary busey,albert hall,amy morton,dan hedaya,eddie bracken,
TV Show,spidey and his amazing friends,TV_Y,1 Season,"Action, Adventure, Animation, Kids",6.0,benjamin valic,lily sanfelippo,jakari fraser,dee bradley baker,melanie minichino,,
TV Show,meet spidey and his amazing friends (shorts),TV_Y,1 Season,"Action, Adventure, Animation, Kids",6.0,ben valic,melanie minichino,,,,,
Movie,flicka,PG,95 min,"Animals_Nature, ComingOfAge, Drama",6.0,alison lohman,tim mcgraw,maria bello,ryan kwanten,danny pino,dallas roberts,
Movie,the last of the chupacabras,TV_PG,14 min,Fantasy,6.0,melba martinez ph.d,cici lau,seven true_divine purnell,william knight,amanda maddock,ronald binion,
Movie,squanto: a warrior's tale,PG,102 min,"Action, Adventure, Biographical, Drama",6.0,adam beach,eric schweig,michael gambon,nathaniel parker,alex norton,sheldon peters wolfchild,
TV Show,star wars: ewoks,TV_Y7_FV,2 Seasons,"Action, Adventure, Animation, Fantasy",6.0,jim henshaw,cree summer francks,jackie burroughs,george buza,doug chamberlain,paul chato,
Movie,d2: the mighty ducks,PG,107 min,"Comedy, Drama, Family",6.0,emilio estevez,michael tucker,jan rubeå¡,kathryn erbe,joshua jackson,elden ratliff,
Movie,a tale of two critters,G,48 min,"Animals_Nature, Family",6.0,mayf nutter,,,,,,
TV Show,sonny with a chance,TV_G,2 Seasons,"Comedy, ComingOfAge, Romance",6.0,demi lovato,tiffany thornton,sterling knight,brandon smith,doug brochu,allisyn arm,
Movie,the last song,PG,109 min,"ComingOfAge, Drama, Music",6.0,miley cyrus,liam hemsworth,bobby coleman,nick searcy,kelly preston,greg kinnear,
Movie,bedtime stories,PG,101 min,"Comedy, Family, Fantasy",6.0,adam sandler,keri russell,guy pearce,russell brand,richard griffiths,jonathan pryce,
Movie,"my dog, the thief",TV_PG,89 min,"Action, Adventure, Comedy, Family",6.0,dwayne hickman,mary mobley,elsa lanchester,joe flynn,roger carmel,mickey shaughnessy,
Movie,timmy failure: mistakes were made,PG,103 min,"Buddy, Comedy, Drama",6.0,winslow fegley,ophelia lovibond,craig robinson,wallace shawn,kyle bornheimer,chloe coleman,
TV Show,the lodge,TV_G,2 Seasons,"ComingOfAge, Drama, Musical",6.0,sophie simnett,luke newton,thomas doherty,bethan wright,jayden revri,jade alleyne,
TV Show,austin & ally,TV_G,4 Seasons,"Comedy, ComingOfAge, Kids",6.0,ross lynch,laura marano,raini rodriguez,calum worthy,,,
Movie,cars toon: spinning,TV_G,2 min,"Animation, Family",6.0,keith ferguson,paul dooley,tony shalhoub,lloyd sherr,michael wallis,guido quaroni,
Movie,drain alcatraz,TV_PG,47 min,Documentary,6.0,craig sechler,russell boulter,,,,,
TV Show,the super hero squad,TV_Y7,2 Seasons,"Action, Adventure, Animation, Comedy",6.0,grey delisle,steve blum,mikey kelly,charlie adler,mark hamill,tom kenny,
TV Show,mickey mouse roadster racers,TV_Y,2 Seasons,"Animation, Kids, Sports",6.0,bret iwan,russi taylor,bill farmer,daniel ross,tress macneille,,
Movie,alley cats strike!,TV_G,87 min,"ComingOfAge, Drama, Sports",6.0,kyle schmid,robert ri'chard,kaley cuoco,mimi paley,joey wilcots,philip williams,
Movie,camp nowhere,PG,96 min,"Comedy, ComingOfAge, Family",6.0,christopher lloyd,jonathan jackson,wendy makkena,tom wilson,andrew keegan,marne patterson,
Movie,cars toon: heavy metal mater,TV_G,5 min,"Animation, Comedy, Family",6.0,larry the cable guy ,keith ferguson,,,,,
Movie,cars toon: hiccups,TV_G,3 min,"Animation, Comedy, Family",6.0,keith ferguson,larry the cable guy ,michael wallis,tony shalhoub,lloyd sherr,bonnie hunt,
Movie,cars toon: mater the greater,TV_Y7,5 min,"Animation, Comedy, Family",6.0,larry the cable guy ,keith ferguson,,,,,
Movie,cinderella iii: a twist in time,G,79 min,"Animation, Fantasy, Kids",6.0,jennifer hale,c.d. barnes,susanne blakeslee,tress macneille,russi taylor,andre stojka,
Movie,eddie's million dollar cook_off,TV_G,86 min,"Comedy, ComingOfAge, Sports",6.0,taylor ball,orlando brown,reiley mcclendon,mark taylor,rose mciver,kylie leydon,
Movie,george & a.j.,TV_G,4 min,"Animation, Comedy, Family",6.0,jason topolski,a.j. riebli  iii,steve purcell,peter sohn,bob peterson,kim donovan,
TV Show,hulk and the agents of s.m.a.s.h.,TV_Y7,2 Seasons,"Action, Adventure, Animation, Comedy",6.0,fred tatasciore,clancy brown,seth green,eliza dushku,ben diskin,,
Movie,ice princess,G,99 min,"ComingOfAge, Drama, Romance",6.0,joan cusack,kim cattrall,michelle trachtenberg,hayden panettiere,trevor blumas,connie ray,
TV Show,jessie,TV_PG,4 Seasons,"Comedy, ComingOfAge, Family",6.0,debby ryan,peyton list,cameron boyce,karan brar,skai jackson,kevin chamberlin,
Movie,jumping ship,TV_G,93 min,"Action, Adventure, ComingOfAge",6.0,joey lawrence,matthew lawrence,andrew lawrence,susan walters,stephen burleigh,anthony wong,
Movie,miracle in lane 2,TV_G,90 min,"Biographical, Drama, Sports",6.0,frankie muniz,rick rossovich,molly hagan,patrick levis,roger brown,tuc watkins,
Movie,teen beach 2,TV_G,106 min,"Fantasy, Musical",6.0,ross lynch,maia mitchell,grace phipps,garrett clayton,john deluca,chrissie fit,
Movie,teen spirit,TV_14,82 min,"Buddy, Comedy, ComingOfAge",6.0,cassie scerbo,lindsey shaw,chris zylka,tim gunn,carissa capobianco,gabriela lopez,
Movie,the apple dumpling gang rides again,G,89 min,"Comedy, Family, Western",6.0,tim conway,don knotts,tim matheson,kenneth mars,elyssa davalos,jack elam,
Movie,the computer wore tennis shoes,G,90 min,"Comedy, Crime, Sci_Fi",6.0,kurt russell,cesar romero,joe flynn,william schallert,alan hewitt,richard bakalyan,
Movie,the swap,TV_G,91 min,"Comedy, ComingOfAge, Fantasy",6.0,peyton list,jacob bertrand,darrin rose,claire rankin,callan potter,jesse bostick,
Movie,you wish!,TV_G,88 min,"ComingOfAge, Drama, Fantasy",6.0,a.j. trauth,spencer breslin,lalaine ,sally stockwell,peter feeney,tim reid,
Movie,the cat from outer space,G,104 min,"Comedy, Family, Sci_Fi",6.0,ken berry,sandy duncan,harry morgan,roddy mcdowall,mclean stevenson,jesse white,
Movie,night at the museum: battle of the smithsonian,PG,106 min,"Action, Adventure, Comedy, Family",6.0,ben stiller,amy adams,owen wilson,hank azaria,christopher guest,alain chabat,
